s0;s1;s2;s3;s4
1905;3264;3661;3077;2345;
1969;3350;3741;3146;2408;
1969;3350;3741;3146;2408;
1969;3350;3741;3146;2408;
2090;3480;3870;3255;2531;
2090;3480;3870;3255;2531;
2090;3480;3870;3255;2531;
2026;3401;3790;3184;2464;
2026;3401;3790;3184;2464;
1908;3269;3664;3083;2342;
1908;3269;3664;3083;2342;
1908;3269;3664;3083;2342;
1920;3283;3682;3094;2356;
1920;3283;3682;3094;2356;
1920;3283;3682;3094;2356;
2069;3463;3854;3231;2515;
2069;3463;3854;3231;2515;
2069;3463;3854;3231;2515;
2067;3437;3825;3215;2497;
2067;3437;3825;3215;2497;
2067;3437;3825;3215;2497;
1933;3286;3681;3091;2364;
1933;3286;3681;3091;2364;
1904;3266;3664;3077;2343;
1904;3266;3664;3077;2343;
1904;3266;3664;3077;2343;
2041;3421;3820;3206;2492;
2041;3421;3820;3206;2492;
2084;3461;3858;3236;2527;
2084;3461;3858;3236;2527;
2084;3461;3858;3236;2527;
1970;3336;3728;3134;2402;
1970;3336;3728;3134;2402;
1970;3336;3728;3134;2402;
1902;3268;3664;3075;2339;
1902;3268;3664;3075;2339;
1902;3268;3664;3075;2339;
1982;3365;3759;3160;2427;
1982;3365;3759;3160;2427;
2096;3473;3868;3249;2530;
2096;3473;3868;3249;2530;
2096;3473;3868;3249;2530;
1936;3310;3709;3115;2381;
1936;3310;3709;3115;2381;
1936;3310;3709;3115;2381;
2080;3467;3863;3237;2521;
2080;3467;3863;3237;2521;
2080;3467;3863;3237;2521;
2046;3425;3818;3206;2491;
2046;3425;3818;3206;2491;
1911;3285;3671;3094;2351;
1911;3285;3671;3094;2351;
1911;3285;3671;3094;2351;
1907;3263;3661;3077;2339;
1907;3263;3661;3077;2339;
2060;3445;3833;3215;2500;
2060;3445;3833;3215;2500;
2060;3445;3833;3215;2500;
2075;3460;3840;3232;2515;
2075;3460;3840;3232;2515;
2075;3460;3840;3232;2515;
1944;3316;3699;3118;2381;
1944;3316;3699;3118;2381;
1944;3316;3699;3118;2381;
1899;3269;3660;3076;2338;
1899;3269;3660;3076;2338;
1899;3269;3660;3076;2338;
2088;3477;3862;3241;2531;
2088;3477;3862;3241;2531;
1987;3358;3742;3152;2427;
1987;3358;3742;3152;2427;
1987;3358;3742;3152;2427;
1905;3278;3661;3079;2341;
1905;3278;3661;3079;2341;
1967;3346;3725;3146;2410;
1967;3346;3725;3146;2410;
1967;3346;3725;3146;2410;
2091;3475;3868;3244;2533;
2091;3475;3868;3244;2533;
2026;3397;3789;3182;2464;
2026;3397;3789;3182;2464;
