s1,s2,s3,s4,s5
4251,3876,2985,3843,4573
4322,3950,3047,3898,4585
4322,3950,3047,3898,4585
4304,3926,3027,3886,4585
4304,3926,3027,3886,4585
4304,3926,3027,3886,4585
4262,3843,3007,3896,4578
4262,3843,3007,3896,4578
4262,3843,3007,3896,4578
4173,3773,2945,3810,4568
4173,3773,2945,3810,4568
4173,3773,2945,3810,4568
4111,3713,2900,3751,4556
4111,3713,2900,3751,4556
4111,3713,2900,3751,4556
4089,3709,2857,3677,4545
4089,3709,2857,3677,4545
4157,3783,2877,3678,4546
4157,3783,2877,3678,4546
4157,3783,2877,3678,4546
4232,3821,2911,3701,4550
4232,3821,2911,3701,4550
4232,3821,2911,3701,4550
4315,3890,2955,3759,4556
4315,3890,2955,3759,4556
4315,3890,2955,3759,4556
4360,3997,2983,3746,4560
4360,3997,2983,3746,4560
4374,4079,2997,3691,4559
4374,4079,2997,3691,4559
4374,4079,2997,3691,4559
4369,4127,2988,3635,4549
4369,4127,2988,3635,4549
4369,4127,2988,3635,4549
4354,4123,2979,3594,4554
4354,4123,2979,3594,4554
4354,4123,2979,3594,4554
4344,4095,2965,3598,4553
4344,4095,2965,3598,4553
4318,3996,2934,3628,4546
4318,3996,2934,3628,4546
4318,3996,2934,3628,4546
4251,3828,2903,3678,4540
4251,3828,2903,3678,4540
4251,3828,2903,3678,4540
4239,3769,2895,3695,4529
4239,3769,2895,3695,4529
4240,3743,2889,3701,4530
4240,3743,2889,3701,4530
4240,3743,2889,3701,4530
4269,3777,2882,3654,4517
4269,3777,2882,3654,4517
4269,3777,2882,3654,4517
4273,4005,2839,3382,4474
4273,4005,2839,3382,4474
4273,4005,2839,3382,4474
4250,4124,2896,3263,4449
4250,4124,2896,3263,4449
4273,4173,2926,3251,4449
4273,4173,2926,3251,4449
4294,4107,2886,3332,4469
4294,4107,2886,3332,4469
4326,3933,2866,3536,4497
4291,3713,2887,3678,4500
4291,3713,2887,3678,4500
4291,3713,2887,3678,4500
4233,3574,2920,3767,4490
4233,3574,2920,3767,4490
4123,3372,2985,3835,4463
4123,3372,2985,3835,4463
4123,3372,2985,3835,4463
4133,3371,3000,3840,4474
4133,3371,3000,3840,4474
4133,3371,3000,3840,4474
4235,3531,2941,3786,4483
4235,3531,2941,3786,4483
4235,3531,2941,3786,4483
4304,3751,2880,3673,4503
4304,3751,2880,3673,4503
4318,3921,2862,3549,4510
4318,3921,2862,3549,4510
4318,3921,2862,3549,4510
4281,4019,2878,3453,4507
4281,4019,2878,3453,4507
4281,4019,2878,3453,4507
4255,4047,2878,3408,4508
4255,4047,2878,3408,4508
4255,4047,2878,3408,4508
4261,4021,2882,3443,4509
4261,4021,2882,3443,4509
4257,3887,2853,3549,4517
4257,3887,2853,3549,4517
4257,3887,2853,3549,4517
4193,3628,2873,3697,4505
4193,3628,2873,3697,4505
4193,3628,2873,3697,4505
4196,3557,2904,3756,4489
4196,3557,2904,3756,4489
4196,3557,2904,3756,4489
4193,3520,2931,3787,4491
4193,3520,2931,3787,4491
4229,3578,2918,3765,4502
4229,3578,2918,3765,4502
4229,3578,2918,3765,4502
4256,3645,2896,3713,4498
4256,3645,2896,3713,4498
4256,3645,2896,3713,4498
4273,3820,2872,3619,4522
4273,3820,2872,3619,4522
4273,3820,2872,3619,4522
4264,3829,2867,3613,4516
4264,3829,2867,3613,4516
4264,3829,2867,3613,4516
4228,3806,2848,3593,4518
4228,3806,2848,3593,4518
4174,3753,2837,3606,4520
4174,3753,2837,3606,4520
4174,3753,2837,3606,4520
4082,3600,2877,3736,4532
4082,3600,2877,3736,4532
4016,3419,3027,3983,4553
4016,3419,3027,3983,4553
4016,3419,3027,3983,4553
4000,3369,3081,4047,4559
4000,3369,3081,4047,4559
4000,3369,3081,4047,4559
3964,3315,3157,4107,4560
3964,3315,3157,4107,4560
3964,3315,3157,4107,4560
3907,3220,3234,4149,4554
3907,3220,3234,4149,4554
3945,3264,3209,4147,4563
3945,3264,3209,4147,4563
3945,3264,3209,4147,4563
4058,3434,3118,4087,4568
4058,3434,3118,4087,4568
4058,3434,3118,4087,4568
4174,3604,3038,3994,4568
4174,3604,3038,3994,4568
4174,3604,3038,3994,4568
4215,3685,2977,3887,4560
4215,3685,2977,3887,4560
4215,3685,2977,3887,4560
4259,3788,2946,3797,4554
4259,3788,2946,3797,4554
4309,3923,2927,3678,4543
4309,3923,2927,3678,4543
4309,3923,2927,3678,4543
4329,3949,2933,3678,4547
4329,3949,2933,3678,4547
4329,3949,2933,3678,4547
4343,4000,2941,3646,4545
4343,4000,2941,3646,4545
4343,4000,2941,3646,4545
4342,3994,2932,3646,4550
4342,3994,2932,3646,4550
4329,3931,2940,3686,4548
4329,3931,2940,3686,4548
4329,3931,2940,3686,4548
4311,3855,2959,3785,4550
4311,3855,2959,3785,4550
4311,3855,2959,3785,4550
4270,3712,3009,3912,4560
4270,3712,3009,3912,4560
4270,3712,3009,3912,4560
4233,3629,3046,3983,4567
4233,3629,3046,3983,4567
4148,3484,3114,4060,4561
4148,3484,3114,4060,4561
4148,3484,3114,4060,4561
4113,3428,3154,4098,4557
4113,3428,3154,4098,4557
4113,3428,3154,4098,4557
4086,3387,3199,4128,4560
4086,3387,3199,4128,4560
4079,3383,3187,4127,4560
4079,3383,3187,4127,4560
4079,3383,3187,4127,4560
4120,3472,3119,4074,4564
4120,3472,3119,4074,4564
4142,3569,3043,4002,4571
4142,3569,3043,4002,4571
4142,3569,3043,4002,4571
4170,3759,2923,3778,4558
4170,3759,2923,3778,4558
4170,3759,2923,3778,4558
4184,3846,2896,3673,4552
4184,3846,2896,3673,4552
4236,3998,2904,3545,4541
4236,3998,2904,3545,4541
4236,3998,2904,3545,4541
4271,4124,2936,3428,4523
4271,4124,2936,3428,4523
4271,4124,2936,3428,4523
4252,4154,2943,3360,4510
4252,4154,2943,3360,4510
4264,4101,2921,3421,4515
4264,4101,2921,3421,4515
